id,kind,severity,reason,age_minutes,breaking_count,ticker_items,duration_ms,db_error,path,detail,created_at
97edcb24-72d5-41c2-b16c-c1aea88bb795,client_alert,critical,content_critical,28983,,8,,,/,"{""animated"": true}",2026-08-02 13:30:46.925942+00
d9b3b56c-4979-4c4f-a88e-114b45a93d02,client_alert,critical,content_critical,28985,,8,,,/,"{""animated"": true}",2026-08-02 13:33:11.648701+00
d92db2fd-22dd-4eb5-a9a6-17f883567fd0,client_alert,critical,content_critical,28986,,8,,,/,"{""animated"": true}",2026-08-02 13:33:14.0843+00
0743a969-aa40-4324-a06e-7ae41f63e4cb,client_alert,critical,content_critical,28778,,8,,,/,"{""animated"": true}",2026-08-02 13:34:23.644123+00
6972c3c4-7cda-4673-a297-4b276f3e6e0a,client_alert,critical,content_critical,28780,,8,,,/,"{""animated"": true}",2026-08-02 13:36:08.888568+00
26c09d33-2b81-4857-b824-dddadc9568e2,client_alert,critical,content_critical,28781,,8,,,/,"{""animated"": true}",2026-08-02 13:36:55.640641+00
69a6327b-2fac-4f9c-a024-84054c74ebc2,client_alert,critical,content_critical,28781,,8,,,/,"{""animated"": true}",2026-08-02 13:37:19.481232+00
1c3ecebc-7e4a-4690-8102-1a35106aeed2,client_alert,critical,content_critical,28990,,8,,,/,"{""animated"": true}",2026-08-02 13:37:31.788025+00
c296d460-702c-41eb-a217-6e91df6e9256,client_alert,critical,content_critical,28784,,8,,,/,"{""animated"": true}",2026-08-02 13:39:40.58416+00
954b1864-0090-47cf-ae88-1faa1600d9dc,client_alert,critical,content_critical,28992,,8,,,/,"{""animated"": true}",2026-08-02 13:39:52.490749+00
fbc32c83-75d6-4118-9d60-917f31a7c7e9,client_alert,critical,content_critical,28992,,8,,,/,"{""animated"": true}",2026-08-02 13:40:05.911751+00
9fc9a4c7-0c0e-46dd-a5d7-2bd0bd4aeedf,client_alert,critical,content_critical,28784,,8,,,/,"{""animated"": true}",2026-08-02 13:40:06.907535+00
90bc51d1-1b82-47dd-b21d-f959294cd38e,client_alert,critical,content_critical,28785,,8,,,/,"{""animated"": true}",2026-08-02 13:40:45.073078+00
106a33fe-60db-499a-b80a-76006dce10c9,client_alert,critical,content_critical,28993,,8,,,/,"{""animated"": true}",2026-08-02 13:40:47.812672+00
3e47964a-10be-4064-89e1-bbe94ec8fea4,client_alert,critical,content_critical,28786,,8,,,/,"{""animated"": true}",2026-08-02 13:42:25.884354+00
cb46c314-1294-4167-9a91-ef26a45f7b74,client_alert,critical,content_critical,28995,,8,,,/,"{""animated"": true}",2026-08-02 13:42:33.236815+00
84cfb6c4-7d2b-4343-85cf-7af522e1f6dd,client_alert,critical,content_critical,28787,,8,,,/,"{""animated"": true}",2026-08-02 13:42:49.000141+00
3f2e4319-3c3d-4d95-85d5-07ca4d254ad1,client_alert,critical,content_critical,28995,,8,,,/,"{""animated"": true}",2026-08-02 13:42:55.503176+00
abcaf615-e06e-4745-a85b-1dbcdf693824,client_alert,critical,content_critical,28996,,8,,,/,"{""animated"": true}",2026-08-02 13:43:48.771566+00
635e096d-408c-4949-9e30-994724dbefec,client_alert,critical,content_critical,28789,,8,,,/,"{""animated"": true}",2026-08-02 13:45:05.652155+00
42ad918b-ea48-41ea-b674-05c5e61f4e25,client_alert,critical,content_critical,28789,,8,,,/,"{""animated"": true}",2026-08-02 13:45:17.188005+00
d167f653-0d3a-4c99-8a08-c1d15dfee92a,client_alert,critical,content_critical,28998,,8,,,/,"{""animated"": true}",2026-08-02 13:45:21.711701+00
b98b956a-b0aa-4885-abe2-706208892f4a,client_alert,critical,content_critical,28998,,8,,,/,"{""animated"": true}",2026-08-02 13:45:56.665166+00
